2025-09-10 19:04:05 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:04:05 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:05:45 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:05:45 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:07:08 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:07:08 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:07:59 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:07:59 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:09:12 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:09:12 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 settings.json: Expecting property name enclosed in double quotes: line 17 column 29 (char 402)
2025-09-10 19:09:12 | INFO     | main_agent:_initialize_agents:56 | 开始初始化子Agent...
2025-09-10 19:09:12 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:09:12 | ERROR    | main_agent:_initialize_agents:92 | 初始化子Agent失败: __init__() got an unexpected keyword argument 'data_fetching_agent'
2025-09-10 19:09:12 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:10:24 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:10:24 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 settings.json: Expecting property name enclosed in double quotes: line 17 column 29 (char 402)
2025-09-10 19:10:24 | INFO     | main_agent:_initialize_agents:56 | 开始初始化子Agent...
2025-09-10 19:10:24 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:10:24 | ERROR    | main_agent:_initialize_agents:92 | 初始化子Agent失败: __init__() got an unexpected keyword argument 'data_fetching_agent'
2025-09-10 19:10:24 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:11:16 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:11:16 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 settings.json: Expecting ',' delimiter: line 25 column 33 (char 600)
2025-09-10 19:11:16 | INFO     | main_agent:_initialize_agents:56 | 开始初始化子Agent...
2025-09-10 19:11:16 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:11:16 | INFO     | main_agent:_initialize_agents:88 | 所有子Agent初始化完成
2025-09-10 19:11:16 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:11:47 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:11:47 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 settings.json: Expecting property name enclosed in double quotes: line 49 column 37 (char 1083)
2025-09-10 19:11:47 | INFO     | main_agent:_initialize_agents:56 | 开始初始化子Agent...
2025-09-10 19:11:47 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:11:47 | INFO     | main_agent:_initialize_agents:88 | 所有子Agent初始化完成
2025-09-10 19:11:47 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:12:00 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:12:00 | INFO     | main_agent:_initialize_agents:56 | 开始初始化子Agent...
2025-09-10 19:12:00 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:12:00 | INFO     | main_agent:_initialize_agents:88 | 所有子Agent初始化完成
2025-09-10 19:12:00 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:12:33 | WARNING  | agents.data_fetching_agent:<module>:22 | TuShare或Alpha Vantage未安装，某些功能可能不可用
2025-09-10 19:12:33 | INFO     | main_agent:_initialize_agents:56 | 开始初始化子Agent...
2025-09-10 19:12:33 | ERROR    | agents.data_fetching_agent:_initialize_apis:70 | API初始化失败: name 'TimeSeries' is not defined
2025-09-10 19:12:33 | INFO     | main_agent:_initialize_agents:88 | 所有子Agent初始化完成
2025-09-10 19:12:33 | INFO     | main_agent:start:101 | 正在启动股票投资分析系统...
2025-09-10 19:12:33 | INFO     | agents.data_fetching_agent:start:342 | 数据抓取Agent启动
2025-09-10 19:12:33 | INFO     | agents.portfolio_analyzer:start:315 | 投资组合分析Agent启动
2025-09-10 19:12:33 | INFO     | agents.feishu_integration:start:238 | 飞书集成Agent启动
2025-09-10 19:12:33 | INFO     | agents.feishu_integration:get_access_token:63 | 飞书访问令牌获取成功
2025-09-10 19:12:33 | WARNING  | agents.feishu_integration:start:245 | 飞书连接测试失败: 无法获取访问令牌
2025-09-10 19:12:33 | INFO     | agents.notification_agent:start:381 | 通知Agent启动
2025-09-10 19:12:33 | INFO     | agents.ai_analysis_agent:start:441 | AI分析Agent启动
2025-09-10 19:12:33 | INFO     | utils.auto_scheduler:add_task:79 | 添加定时任务: price_update - 更新所有持仓股票价格
2025-09-10 19:12:33 | INFO     | utils.auto_scheduler:add_task:79 | 添加定时任务: portfolio_analysis - 分析投资组合状况
2025-09-10 19:12:33 | INFO     | utils.auto_scheduler:add_task:79 | 添加定时任务: daily_report - 发送每日投资报告
2025-09-10 19:12:33 | INFO     | utils.auto_scheduler:add_task:79 | 添加定时任务: weekly_report - 发送每周投资报告
2025-09-10 19:12:33 | INFO     | utils.auto_scheduler:add_task:79 | 添加定时任务: ai_analysis - 运行AI智能分析
2025-09-10 19:12:33 | INFO     | utils.auto_scheduler:add_task:79 | 添加定时任务: data_sync - 同步数据到飞书表格
2025-09-10 19:12:33 | INFO     | utils.auto_scheduler:setup_default_tasks:288 | 默认定时任务设置完成
2025-09-10 19:12:33 | INFO     | utils.auto_scheduler:start:180 | 调度器启动成功
2025-09-10 19:12:33 | INFO     | main_agent:start:116 | 股票投资分析系统启动成功
2025-09-10 19:12:33 | INFO     | main_agent:run_initial_update:151 | 执行启动后初始更新...
