2025-09-10 21:04:33 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 settings.json: [Errno 2] No such file or directory: 'config/settings.json'
2025-09-10 21:04:33 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 api_keys.json: [Errno 2] No such file or directory: 'config/api_keys.json'
2025-09-10 21:04:33 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 stock_symbols.json: [Errno 2] No such file or directory: 'config/stock_symbols.json'
2025-09-10 21:04:33 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-10 21:04:33 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-10 21:34:35 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-10 22:04:37 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-10 22:34:38 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-10 23:04:45 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-10 23:09:05 | ERROR    | agents.data_fetching_agent:_get_yahoo_finance_price:230 | Yahoo Finance API调用失败 00981: HTTPSConnectionPool(host='query1.finance.yahoo.com', port=443): Read timed out. (read timeout=10)
2025-09-10 23:39:07 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 00:15:33 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 00:45:34 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 01:15:36 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 01:45:37 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 02:15:38 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 02:45:39 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 03:15:39 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 03:45:41 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 04:15:41 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 04:52:11 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 05:33:46 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 06:06:45 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 06:36:45 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 07:15:33 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 07:54:57 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 08:31:41 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 09:01:41 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 09:37:18 | ERROR    | agents.data_fetching_agent:_get_yahoo_finance_price:230 | Yahoo Finance API调用失败 00981: HTTPSConnectionPool(host='query1.finance.yahoo.com', port=443): Read timed out. (read timeout=10)
2025-09-11 09:37:19 | ERROR    | agents.feishu_integration:get_access_token:66 | 获取访问令牌失败: invalid param
